HS,0.40743
,0.57486
,0.86122
,1.2475
,1.7095
,2.2172
,2.7361
,3.2301
,3.6665
,4.021
,4.2813
,4.4481
,4.5337
,4.557
,4.5386
,4.4957
,4.4395
,4.3759
,4.3062
,4.2294
,4.1418
,4.0384
,3.9134
,3.763
,3.5881
,3.3958
,3.1986
,3.0112
,2.8462
,2.7108
,2.605
,2.523
,2.4556
,2.3939
,2.3319
,2.2683
,2.2065
,2.1532
,2.1157
,2.0993
,2.105
,2.1288
,2.1642
,2.2046
,2.2462
,2.2886
,2.3348
,2.3895
,2.4578
,2.5449
,2.6558
,2.7956
,2.9705
,3.189
,3.4626
,3.8074
,4.2434
,4.7919
,5.4703
,6.2845
,7.2216
,8.2449
,9.2949
,10.298
,11.178
,11.875
,12.358
,12.628
,12.725
,12.721
,12.713
,12.809
,13.11
,13.683
,14.544
,15.648
,16.896
,18.158
,19.299
,20.197
,20.764
,20.944
,20.712
,20.072
,19.049
,17.689
,16.058
,14.236
,12.317
,10.397
,8.566
,6.8927
,5.4219
,4.1731
,3.1454
,2.3271
,1.7043
,1.2667
,1.0075
,0.91958
HS,0.92159
,1.0303
,1.2876
,1.6659
,2.1334
,2.6566
,3.2012
,3.7337
,4.2239
,4.6475
,4.988
,5.2386
,5.4017
,5.4878
,5.5126
,5.4935
,5.4445
,5.374
,5.2846
,5.1755
,5.0464
,4.8984
,4.7344
,4.5575
,4.3699
,4.1734
,3.9702
,3.764
,3.5595
,3.3612
,3.1712
,2.9895
,2.8145
,2.6453
,2.4827
,2.3291
,2.189
,2.0673
,1.9689
,1.897
,1.8519
,1.831
,1.8298
,1.8437
,1.8695
,1.9069
,1.9568
,2.0211
,2.1014
,2.1986
,2.313
,2.4444
,2.5932
,2.7622
,2.9588
,3.1978
,3.502
,3.9005
,4.4233
,5.0927
,5.9147
,6.8711
,7.917
,8.9849
,9.9952
,10.873
,11.561
,12.039
,12.321
,12.461
,12.542
,12.664
,12.922
,13.388
,14.093
,15.022
,16.111
,17.263
,18.362
,19.294
,19.962
,20.295
,20.253
,19.82
,19.004
,17.832
,16.351
,14.628
,12.75
,10.814
,8.9168
,7.1434
,5.5544
,4.1825
,3.035
,2.103
,1.3724
,0.83225
,0.47701
,0.30434
