time, Futek, ENCL, ENCR, X, Y, Z, W 
2.5777 ,8341494 ,-130 ,0 ,0.0 ,0.0 ,0.0 ,0.0
2.589 ,8341287 ,-130 ,0 ,0.0 ,0.0 ,0.0 ,0.0
2.6001 ,8341183 ,-130 ,0 ,0.0 ,0.0 ,0.0 ,0.0
2.6142 ,8341079 ,-130 ,0 ,0.0 ,0.0 ,0.0 ,0.0
2.6255 ,8341114 ,-130 ,0 ,-0.0342407226562 ,0.0912475585938 ,0.0773315429688 ,-0.992248535156
2.6359 ,8340833 ,-130 ,0 ,-0.0342407226562 ,0.0912475585938 ,0.0772094726562 ,-0.992248535156
2.6465 ,8340899 ,-130 ,0 ,-0.0341796875 ,0.091552734375 ,0.0770263671875 ,-0.992248535156
2.6569 ,8341114 ,-130 ,0 ,-0.0335693359375 ,0.0945434570312 ,0.07666015625 ,-0.992004394531
2.6691 ,8341114 ,-130 ,0 ,-0.0322265625 ,0.100830078125 ,0.0762939453125 ,-0.991455078125
2.6869 ,8340948 ,-130 ,0 ,-0.031494140625 ,0.103820800781 ,0.0762939453125 ,-0.991149902344
2.6973 ,8340861 ,-130 ,0 ,-0.030029296875 ,0.109436035156 ,0.0763549804688 ,-0.990600585938
2.7192 ,8341307 ,-130 ,0 ,-0.029296875 ,0.112121582031 ,0.0762329101562 ,-0.990356445312
2.73 ,8340733 ,-130 ,0 ,-0.0286254882812 ,0.114624023438 ,0.0760498046875 ,-0.990051269531
2.7416 ,8341131 ,-130 ,0 ,-0.0274047851562 ,0.119201660156 ,0.0755615234375 ,-0.989624023438
2.7573 ,8340754 ,-130 ,0 ,-0.02685546875 ,0.121215820312 ,0.075439453125 ,-0.989379882812
2.7693 ,8340093 ,-130 ,0 ,-0.0263671875 ,0.122924804688 ,0.0753173828125 ,-0.989196777344
2.7804 ,8341131 ,-130 ,0 ,-0.0259399414062 ,0.124450683594 ,0.0753173828125 ,-0.989013671875
2.792 ,8340647 ,-130 ,0 ,-0.0252075195312 ,0.127380371094 ,0.0753173828125 ,-0.988647460938
2.8068 ,8340141 ,-130 ,0 ,-0.02490234375 ,0.128540039062 ,0.0752563476562 ,-0.988525390625
2.819 ,8340674 ,-130 ,0 ,-0.0245971679688 ,0.129577636719 ,0.0750732421875 ,-0.988403320312
2.8304 ,8341508 ,-130 ,0 ,-0.0243530273438 ,0.130493164062 ,0.0748291015625 ,-0.988342285156
2.8415 ,8340965 ,-130 ,0 ,-0.02392578125 ,0.132263183594 ,0.0742797851562 ,-0.988159179688
2.8568 ,8341328 ,-130 ,0 ,-0.0237426757812 ,0.133239746094 ,0.0740356445312 ,-0.988037109375
2.8695 ,8341328 ,-130 ,0 ,-0.0234985351562 ,0.13427734375 ,0.07373046875 ,-0.987915039062
2.8807 ,8341435 ,-130 ,0 ,-0.0233154296875 ,0.135314941406 ,0.0734252929688 ,-0.98779296875
2.8916 ,8341141 ,-130 ,0 ,-0.0228881835938 ,0.137390136719 ,0.0725708007812 ,-0.987609863281
2.9087 ,8340259 ,-130 ,0 ,-0.0227661132812 ,0.138366699219 ,0.0721435546875 ,-0.987487792969
2.9199 ,8341321 ,-130 ,0 ,-0.0225830078125 ,0.139282226562 ,0.0717163085938 ,-0.987365722656
2.9314 ,8341204 ,-130 ,0 ,-0.0223388671875 ,0.141052246094 ,0.0711059570312 ,-0.987182617188
