time, Futek, ENCL, ENCR, X, Y, Z, W 
2.5748 ,8353218 ,-101 ,1 ,0.0 ,0.0 ,0.0 ,0.0
2.5853 ,8353031 ,-101 ,1 ,0.0 ,0.0 ,0.0 ,0.0
2.596 ,8353238 ,-101 ,1 ,0.0 ,0.0 ,0.0 ,0.0
2.6064 ,8352924 ,-101 ,1 ,0.0 ,0.0 ,0.0 ,0.0
2.6169 ,8353055 ,-101 ,1 ,0.0 ,0.0 ,0.0 ,0.0
2.6273 ,8352955 ,-101 ,1 ,-0.00506591796875 ,0.0538330078125 ,0.697265625 ,0.714782714844
2.6378 ,8352885 ,-101 ,1 ,-0.00494384765625 ,0.0537109375 ,0.697082519531 ,0.714904785156
2.6484 ,8352591 ,-101 ,1 ,-0.0048828125 ,0.0535888671875 ,0.696960449219 ,0.715087890625
2.6597 ,8353515 ,-101 ,1 ,-0.0054931640625 ,0.0537109375 ,0.69677734375 ,0.715270996094
2.6741 ,8352751 ,-101 ,1 ,-0.00604248046875 ,0.0538330078125 ,0.696655273438 ,0.715393066406
2.6847 ,8353069 ,-101 ,1 ,-0.00653076171875 ,0.053955078125 ,0.696533203125 ,0.715454101562
2.6953 ,8353065 ,-101 ,1 ,-0.00701904296875 ,0.0540161132812 ,0.696411132812 ,0.715576171875
2.7059 ,8353539 ,-101 ,1 ,-0.0074462890625 ,0.0540161132812 ,0.696350097656 ,0.715637207031
2.7167 ,8352391 ,-101 ,1 ,-0.00787353515625 ,0.053955078125 ,0.696228027344 ,0.715759277344
2.7278 ,8353169 ,-101 ,1 ,-0.00823974609375 ,0.0538940429688 ,0.696166992188 ,0.7158203125
2.7386 ,8353121 ,-101 ,1 ,-0.008544921875 ,0.0538330078125 ,0.696044921875 ,0.715942382812
2.7497 ,8352564 ,-101 ,1 ,-0.00897216796875 ,0.053955078125 ,0.695861816406 ,0.716064453125
2.7657 ,8352882 ,-101 ,1 ,-0.0091552734375 ,0.0541381835938 ,0.69580078125 ,0.716186523438
2.7762 ,8352578 ,-101 ,1 ,-0.00927734375 ,0.05419921875 ,0.695678710938 ,0.716247558594
2.7867 ,8352072 ,-101 ,1 ,-0.00982666015625 ,0.0542602539062 ,0.695495605469 ,0.716430664062
2.7972 ,8352844 ,-101 ,1 ,-0.0101318359375 ,0.05419921875 ,0.6953125 ,0.716613769531
2.8078 ,8352643 ,-101 ,1 ,-0.01025390625 ,0.053955078125 ,0.695129394531 ,0.716796875
2.8191 ,8352425 ,-101 ,1 ,-0.0101928710938 ,0.0535888671875 ,0.694702148438 ,0.717224121094
2.8334 ,8352501 ,-101 ,1 ,-0.01025390625 ,0.0535278320312 ,0.694458007812 ,0.717468261719
2.8438 ,8352384 ,-101 ,1 ,-0.0103759765625 ,0.0535888671875 ,0.694152832031 ,0.7177734375
2.8545 ,8352796 ,-101 ,1 ,-0.0105590820312 ,0.0537109375 ,0.693786621094 ,0.718078613281
