2019-09-08 18:44:37.381881,0.0,0.0,0.0
2019-09-08 18:44:37.393968,0.0,0.0,0.0
2019-09-08 18:44:37.406375,0.0,0.0,0.0
2019-09-08 18:44:37.420685,0.0,0.0,0.0
2019-09-08 18:44:37.432673,293.0,-4.625,-47.9375
2019-09-08 18:44:37.444648,293.0,-4.625,-48.0
2019-09-08 18:44:37.463542,293.0,-4.625,-48.0
2019-09-08 18:44:37.475528,293.0,-4.5625,-48.0
2019-09-08 18:44:37.490745,293.0,-4.5625,-48.0
2019-09-08 18:44:37.502804,293.0,-4.625,-48.0
2019-09-08 18:44:37.514753,293.0,-4.625,-48.0
2019-09-08 18:44:37.530860,293.0625,-4.625,-48.0625
2019-09-08 18:44:37.542935,293.0625,-4.625,-48.0625
2019-09-08 18:44:37.554989,293.0625,-4.625,-48.0625
2019-09-08 18:44:37.570714,293.0625,-4.625,-48.0625
2019-09-08 18:44:37.582717,293.0625,-4.625,-48.0625
2019-09-08 18:44:37.594762,293.0625,-4.625,-48.0625
2019-09-08 18:44:37.614060,293.0625,-4.625,-48.0
2019-09-08 18:44:37.626072,293.0625,-4.625,-48.0
2019-09-08 18:44:37.640862,293.0625,-4.625,-47.9375
2019-09-08 18:44:37.652881,293.0625,-4.625,-47.9375
2019-09-08 18:44:37.665257,293.0625,-4.625,-47.9375
2019-09-08 18:44:37.681062,293.0625,-4.5625,-47.875
2019-09-08 18:44:37.693174,293.0625,-4.5625,-47.875
2019-09-08 18:44:37.705106,293.0625,-4.5625,-47.875
2019-09-08 18:44:37.720926,293.0625,-4.5625,-47.8125
2019-09-08 18:44:37.733275,293.0625,-4.5625,-47.8125
2019-09-08 18:44:37.750961,293.0625,-4.5,-47.75
2019-09-08 18:44:37.763668,293.125,-4.5,-47.75
2019-09-08 18:44:37.776881,293.125,-4.5,-47.75
2019-09-08 18:44:37.790873,293.125,-4.5,-47.75
2019-09-08 18:44:37.803297,293.125,-4.5,-47.75
2019-09-08 18:44:37.815656,293.125,-4.5,-47.75
2019-09-08 18:44:37.831211,293.125,-4.5,-47.75
2019-09-08 18:44:37.843521,293.125,-4.5,-47.75
2019-09-08 18:44:37.856433,293.125,-4.5,-47.8125
2019-09-08 18:44:37.871369,293.125,-4.5,-47.8125
2019-09-08 18:44:37.884630,293.125,-4.5,-47.8125
2019-09-08 18:44:37.900693,293.125,-4.5,-47.8125
2019-09-08 18:44:37.913703,293.125,-4.5,-47.8125
2019-09-08 18:44:37.926347,293.125,-4.5,-47.8125
2019-09-08 18:44:37.940910,293.125,-4.5,-47.8125
2019-09-08 18:44:37.953327,293.125,-4.5,-47.875
2019-09-08 18:44:37.965609,293.125,-4.5,-47.875
2019-09-08 18:44:37.981002,293.125,-4.5,-47.875
2019-09-08 18:44:37.993256,293.0625,-4.5,-47.875
2019-09-08 18:44:38.005401,293.0625,-4.5,-47.875
2019-09-08 18:44:38.020645,293.0625,-4.5,-47.8125
2019-09-08 18:44:38.033027,293.125,-4.4375,-47.8125
2019-09-08 18:44:38.045352,293.125,-4.4375,-47.75
2019-09-08 18:44:38.064037,293.1875,-4.4375,-47.75
2019-09-08 18:44:38.076813,293.25,-4.4375,-47.75
2019-09-08 18:44:38.090778,293.3125,-4.5,-47.75
2019-09-08 18:44:38.103038,293.3125,-4.5,-47.75
2019-09-08 18:44:38.115291,293.3125,-4.5,-47.75
2019-09-08 18:44:38.131057,293.375,-4.5,-47.75
2019-09-08 18:44:38.143441,293.4375,-4.5,-47.6875
2019-09-08 18:44:38.156198,293.5,-4.5,-47.6875
2019-09-08 18:44:38.170912,293.5,-4.5,-47.6875
2019-09-08 18:44:38.183229,293.5,-4.5,-47.75
2019-09-08 18:44:38.195842,293.5,-4.5,-47.75
2019-09-08 18:44:38.214031,293.4375,-4.5,-47.8125
2019-09-08 18:44:38.230820,293.375,-4.5,-47.8125
2019-09-08 18:44:38.243114,293.375,-4.5,-47.8125
2019-09-08 18:44:38.255381,293.3125,-4.5625,-47.8125
2019-09-08 18:44:38.270864,293.25,-4.5625,-47.8125
2019-09-08 18:44:38.283392,293.25,-4.5625,-47.8125
2019-09-08 18:44:38.296019,293.1875,-4.5625,-47.875
2019-09-08 18:44:38.313897,293.1875,-4.5625,-47.875
2019-09-08 18:44:38.331052,293.1875,-4.5625,-47.875
2019-09-08 18:44:38.343367,293.1875,-4.5625,-47.8125
2019-09-08 18:44:38.356151,293.1875,-4.5625,-47.8125
2019-09-08 18:44:38.371126,293.25,-4.5625,-47.8125
2019-09-08 18:44:38.383526,293.25,-4.625,-47.75
2019-09-08 18:44:38.396257,293.3125,-4.625,-47.75
2019-09-08 18:44:38.414017,293.4375,-4.625,-47.6875
2019-09-08 18:44:38.426830,293.5,-4.625,-47.6875
2019-09-08 18:44:38.441082,293.5625,-4.625,-47.6875
2019-09-08 18:44:38.453399,293.5625,-4.6875,-47.6875
2019-09-08 18:44:38.466348,293.625,-4.6875,-47.6875
2019-09-08 18:44:38.480921,293.625,-4.6875,-47.75
2019-09-08 18:44:38.493787,293.625,-4.75,-47.75
2019-09-08 18:44:38.506252,293.625,-4.75,-47.8125
2019-09-08 18:44:38.521383,293.625,-4.8125,-47.8125
