time_index,time_stamp,L1,L2,L3,L4,R1,R2,R3,R4,Futek,ENC2
0.0007,2019-09-08 18:22:09.271484,336.0,208.0,180.0,208.0,208.0,216.0,172.0,216.0,,-8,8342922
0.9083,2019-09-08 18:22:09.286161,334.0,208.0,180.0,230.0,208.0,170.0,290.0,208.0,,-8,8342188
0.9229,2019-09-08 18:22:09.295961,334.0,208.0,180.0,230.0,172.0,290.0,216.0,208.0,,-8,8342527
0.9327,2019-09-08 18:22:09.355462,208.0,208.0,180.0,230.0,170.0,290.0,216.0,208.0,,-8,8342859
0.9924,2019-09-08 18:22:09.367870,334.0,208.0,178.0,230.0,292.0,170.0,208.0,216.0,,-8,8342423
1.0048,2019-09-08 18:22:09.464692,334.0,210.0,178.0,232.0,170.0,294.0,172.0,216.0,,-8,8343036
1.1018,2019-09-08 18:22:09.471934,332.0,208.0,180.0,230.0,294.0,216.0,216.0,208.0,,-8,8342236
1.1091,2019-09-08 18:22:09.483079,334.0,210.0,180.0,230.0,170.0,294.0,216.0,208.0,,-8,8342420
1.12,2019-09-08 18:22:09.498096,334.0,208.0,180.0,230.0,170.0,296.0,216.0,208.0,,-8,8341576
1.1354,2019-09-08 18:22:09.512953,332.0,210.0,178.0,230.0,170.0,296.0,216.0,208.0,,-8,8342178
1.1499,2019-09-08 18:22:09.538102,332.0,210.0,178.0,230.0,296.0,216.0,208.0,170.0,,-8,8342797
1.175,2019-09-08 18:22:09.544600,332.0,210.0,178.0,230.0,298.0,216.0,206.0,170.0,,-8,8343150
1.1815,2019-09-08 18:22:09.560253,332.0,210.0,180.0,230.0,298.0,216.0,208.0,170.0,,-8,8342257
1.1973,2019-09-08 18:22:09.574433,332.0,208.0,178.0,230.0,298.0,216.0,206.0,170.0,,-8,8343053
1.2113,2019-09-08 18:22:09.591172,332.0,208.0,178.0,230.0,300.0,214.0,206.0,170.0,,-8,8342576
1.228,2019-09-08 18:22:09.605654,332.0,208.0,178.0,230.0,300.0,214.0,206.0,170.0,,-8,8342191
1.2425,2019-09-08 18:22:09.624340,334.0,210.0,180.0,230.0,300.0,216.0,206.0,170.0,,-8,8341814
1.2612,2019-09-08 18:22:09.651122,332.0,210.0,180.0,230.0,300.0,216.0,206.0,172.0,,-8,8341870
1.2882,2019-09-08 18:22:09.683047,332.0,180.0,178.0,230.0,302.0,214.0,206.0,170.0,,-8,8341745
1.3202,2019-09-08 18:22:09.694607,332.0,210.0,180.0,230.0,214.0,206.0,170.0,302.0,,-8,8342579
1.3318,2019-09-08 18:22:09.705634,332.0,210.0,178.0,230.0,216.0,206.0,170.0,302.0,,-8,8342676
