time_index,time_stamp,L1,L2,L3,L4,R1,R2,R3,R4,Futek,ENC2
0.0005,2019-09-08 18:25:12.296915,232.0,212.0,186.0,232.0,336.0,226.0,222.0,222.0,,-11,8350638
0.5953,2019-09-08 18:25:12.334461,362.0,210.0,186.0,210.0,334.0,334.0,228.0,222.0,,-11,8350403
0.6329,2019-09-08 18:25:12.340858,364.0,210.0,364.0,364.0,332.0,228.0,224.0,176.0,,-11,8350991
0.6393,2019-09-08 18:25:12.367400,364.0,210.0,364.0,364.0,224.0,176.0,222.0,178.0,,-11,8350679
0.6659,2019-09-08 18:25:12.465249,364.0,210.0,186.0,230.0,330.0,230.0,224.0,176.0,,-11,8350583
0.7637,2019-09-08 18:25:12.473767,366.0,210.0,186.0,186.0,330.0,230.0,330.0,330.0,,-11,8349787
0.7722,2019-09-08 18:25:12.480043,366.0,366.0,210.0,210.0,226.0,176.0,328.0,326.0,,-11,8350036
0.7787,2019-09-08 18:25:12.490834,366.0,210.0,232.0,366.0,176.0,326.0,232.0,226.0,,-11,8349981
0.7892,2019-09-08 18:25:12.504391,186.0,232.0,186.0,232.0,176.0,328.0,232.0,176.0,,-11,8349423
0.8028,2019-09-08 18:25:12.536277,232.0,210.0,186.0,366.0,176.0,328.0,176.0,226.0,,-11,8349977
0.8347,2019-09-08 18:25:12.547977,366.0,210.0,186.0,186.0,326.0,232.0,224.0,176.0,,-11,8350053
0.8463,2019-09-08 18:25:12.561709,368.0,210.0,186.0,232.0,326.0,326.0,232.0,226.0,,-11,8350192
0.8601,2019-09-08 18:25:12.567969,366.0,210.0,186.0,234.0,232.0,224.0,178.0,176.0,,-11,8349645
0.8663,2019-09-08 18:25:12.586639,368.0,368.0,210.0,368.0,226.0,226.0,326.0,232.0,,-11,8349811
0.8852,2019-09-08 18:25:12.599589,366.0,212.0,210.0,212.0,226.0,176.0,226.0,176.0,,-11,8349143
0.898,2019-09-08 18:25:12.630834,366.0,212.0,186.0,232.0,226.0,232.0,176.0,326.0,,-11,8349821
0.9292,2019-09-08 18:25:12.657328,368.0,212.0,186.0,232.0,226.0,178.0,226.0,326.0,,-11,8349420
0.9558,2019-09-08 18:25:12.663875,368.0,212.0,186.0,234.0,234.0,178.0,234.0,226.0,,-11,8349513
0.9622,2019-09-08 18:25:12.680036,368.0,186.0,234.0,234.0,178.0,326.0,326.0,226.0,,-11,8348738
0.9786,2019-09-08 18:25:12.699536,368.0,212.0,186.0,232.0,326.0,176.0,226.0,178.0,,-11,8349942
0.9979,2019-09-08 18:25:12.715427,368.0,212.0,186.0,232.0,326.0,234.0,226.0,176.0,,-11,8349579
1.0138,2019-09-08 18:25:12.743302,186.0,234.0,186.0,234.0,326.0,234.0,226.0,178.0,,-11,8349171
1.0417,2019-09-08 18:25:12.749596,368.0,232.0,186.0,234.0,226.0,176.0,326.0,176.0,,-11,8349261
1.048,2019-09-08 18:25:12.762182,212.0,212.0,186.0,232.0,234.0,176.0,178.0,326.0,,-11,8349025
1.0606,2019-09-08 18:25:12.776100,368.0,232.0,186.0,234.0,226.0,178.0,226.0,326.0,,-11,8349503
1.0745,2019-09-08 18:25:12.793820,212.0,212.0,186.0,232.0,176.0,176.0,326.0,232.0,,-11,8349188
1.0922,2019-09-08 18:25:12.806572,186.0,212.0,186.0,232.0,178.0,226.0,178.0,234.0,,-11,8349285
1.1049,2019-09-08 18:25:12.822526,186.0,234.0,186.0,234.0,226.0,224.0,176.0,326.0,,-11,8348873
1.121,2019-09-08 18:25:12.839832,368.0,232.0,186.0,234.0,232.0,178.0,226.0,226.0,,-11,8349617
1.1382,2019-09-08 18:25:12.854080,368.0,214.0,186.0,234.0,226.0,224.0,232.0,328.0,,-11,8349192
1.1525,2019-09-08 18:25:12.872355,368.0,186.0,186.0,186.0,176.0,328.0,328.0,232.0,,-11,8349316
1.1708,2019-09-08 18:25:12.890206,368.0,368.0,186.0,234.0,328.0,232.0,328.0,232.0,,-11,8348371
1.1888,2019-09-08 18:25:12.904640,234.0,366.0,214.0,366.0,176.0,328.0,226.0,224.0,,-11,8348821
1.2032,2019-09-08 18:25:12.925362,366.0,214.0,186.0,366.0,176.0,224.0,178.0,232.0,,-11,8348963
1.2237,2019-09-08 18:25:12.941168,366.0,214.0,186.0,234.0,328.0,176.0,330.0,232.0,,-11,8349074
1.2396,2019-09-08 18:25:12.954130,212.0,212.0,188.0,234.0,232.0,232.0,224.0,176.0,,-11,8348358
1.2525,2019-09-08 18:25:12.965849,364.0,214.0,186.0,234.0,224.0,226.0,330.0,328.0,,-11,8348510
1.2642,2019-09-08 18:25:12.981952,234.0,212.0,186.0,234.0,224.0,224.0,330.0,328.0,,-11,8347925
1.2803,2019-09-08 18:25:13.004102,186.0,186.0,186.0,362.0,176.0,330.0,232.0,224.0,,-11,8348119
1.3025,2019-09-08 18:25:13.018787,212.0,186.0,186.0,234.0,232.0,224.0,232.0,330.0,,-11,8348541
1.3171,2019-09-08 18:25:13.059956,214.0,186.0,360.0,360.0,176.0,176.0,330.0,226.0,,-11,8347773
1.3585,2019-09-08 18:25:13.069153,360.0,212.0,360.0,214.0,330.0,226.0,178.0,224.0,,-11,8348185
1.3675,2019-09-08 18:25:13.078713,236.0,212.0,358.0,358.0,232.0,226.0,176.0,330.0,,-11,8348441
1.3772,2019-09-08 18:25:13.094777,358.0,214.0,186.0,358.0,232.0,176.0,330.0,232.0,,-11,8347835
1.3934,2019-09-08 18:25:13.104850,356.0,214.0,186.0,236.0,226.0,232.0,176.0,330.0,,-11,8348119
1.4032,2019-09-08 18:25:13.118676,356.0,212.0,186.0,236.0,226.0,176.0,176.0,226.0,,-11,8348247
1.417,2019-09-08 18:25:13.145223,356.0,212.0,186.0,236.0,178.0,226.0,234.0,328.0,,-11,8348420
1.4436,2019-09-08 18:25:13.151516,186.0,212.0,186.0,236.0,176.0,328.0,178.0,328.0,,-11,8348247
1.4499,2019-09-08 18:25:13.172103,360.0,214.0,186.0,236.0,234.0,178.0,328.0,226.0,,-11,8347859
1.4705,2019-09-08 18:25:13.185448,186.0,236.0,236.0,236.0,226.0,178.0,328.0,234.0,,-11,8347666
1.484,2019-09-08 18:25:13.200744,186.0,212.0,186.0,212.0,326.0,234.0,228.0,178.0,,-11,8348160
1.4991,2019-09-08 18:25:13.214199,186.0,212.0,364.0,212.0,178.0,326.0,178.0,178.0,,-11,8347918
1.5126,2019-09-08 18:25:13.256721,366.0,212.0,212.0,186.0,178.0,324.0,178.0,228.0,,-11,8348233
1.5551,2019-09-08 18:25:13.263071,368.0,368.0,186.0,186.0,236.0,228.0,176.0,324.0,,-11,8348645
1.5615,2019-09-08 18:25:13.272199,368.0,368.0,212.0,186.0,324.0,236.0,228.0,176.0,,-11,8348219
1.5706,2019-09-08 18:25:13.282754,368.0,368.0,212.0,234.0,324.0,236.0,178.0,324.0,,-11,8347932
1.5811,2019-09-08 18:25:13.303269,368.0,368.0,186.0,234.0,236.0,178.0,324.0,236.0,,-12,8347762
1.6017,2019-09-08 18:25:13.321344,368.0,368.0,186.0,234.0,228.0,178.0,228.0,178.0,,-12,8347960
1.6199,2019-09-08 18:25:13.354759,368.0,368.0,212.0,186.0,324.0,178.0,236.0,236.0,,-12,8347278
1.6532,2019-09-08 18:25:13.361251,368.0,210.0,186.0,234.0,228.0,178.0,324.0,236.0,,-12,8348147
1.6596,2019-09-08 18:25:13.371020,368.0,212.0,186.0,368.0,228.0,178.0,178.0,324.0,,-12,8347804
1.6694,2019-09-08 18:25:13.383681,368.0,210.0,186.0,234.0,324.0,234.0,178.0,324.0,,-12,8347437
1.6821,2019-09-08 18:25:13.397773,368.0,212.0,368.0,212.0,178.0,326.0,234.0,228.0,,-12,8347610
1.6964,2019-09-08 18:25:13.413756,368.0,212.0,212.0,186.0,228.0,226.0,176.0,324.0,,-12,8347866
1.7121,2019-09-08 18:25:13.431002,366.0,210.0,186.0,234.0,324.0,234.0,176.0,178.0,,-12,8348091
1.7294,2019-09-08 18:25:13.454733,366.0,212.0,186.0,234.0,326.0,234.0,228.0,178.0,,-12,8347185
1.7533,2019-09-08 18:25:13.469426,366.0,212.0,186.0,234.0,226.0,178.0,326.0,226.0,,-12,8346839
1.7678,2019-09-08 18:25:13.481683,368.0,368.0,212.0,186.0,232.0,226.0,176.0,328.0,,-12,8348309
1.7801,2019-09-08 18:25:13.496377,368.0,366.0,186.0,212.0,226.0,178.0,328.0,178.0,,-12,8349122
1.7949,2019-09-08 18:25:13.513427,366.0,212.0,212.0,186.0,226.0,178.0,328.0,176.0,,-12,8347344
1.8119,2019-09-08 18:25:13.628297,366.0,366.0,212.0,186.0,226.0,176.0,226.0,328.0,,-12,8347704
1.9267,2019-09-08 18:25:13.638953,234.0,212.0,364.0,212.0,176.0,332.0,228.0,176.0,,-12,8348794
1.9373,2019-09-08 18:25:13.662603,364.0,362.0,186.0,186.0,332.0,230.0,224.0,176.0,,-12,8348403
1.9611,2019-09-08 18:25:13.676863,362.0,362.0,186.0,186.0,332.0,176.0,334.0,332.0,,-12,8348250
1.9754,2019-09-08 18:25:13.683322,362.0,364.0,186.0,362.0,176.0,332.0,228.0,222.0,,-12,8347738
1.9817,2019-09-08 18:25:13.695529,212.0,186.0,234.0,234.0,332.0,224.0,176.0,332.0,,-12,8348385
1.9939,2019-09-08 18:25:13.710380,362.0,362.0,212.0,186.0,176.0,332.0,222.0,332.0,,-12,8348932
2.009,2019-09-08 18:25:13.727965,362.0,212.0,186.0,234.0,332.0,176.0,332.0,228.0,,-12,8347911
2.0263,2019-09-08 18:25:13.744098,362.0,212.0,186.0,234.0,224.0,176.0,332.0,228.0,,-12,8347638
2.0425,2019-09-08 18:25:13.763397,362.0,212.0,186.0,234.0,176.0,332.0,228.0,224.0,,-12,8348541
2.0618,2019-09-08 18:25:13.795976,362.0,212.0,186.0,234.0,176.0,332.0,226.0,224.0,,-12,8348347
2.0945,2019-09-08 18:25:13.802421,362.0,234.0,186.0,234.0,176.0,226.0,228.0,224.0,,-12,8349043
2.1008,2019-09-08 18:25:13.814263,186.0,234.0,186.0,234.0,176.0,332.0,224.0,226.0,,-12,8349171
2.1127,2019-09-08 18:25:13.826288,366.0,234.0,186.0,234.0,226.0,176.0,330.0,226.0,,-12,8348517
2.1247,2019-09-08 18:25:13.844536,366.0,212.0,186.0,366.0,330.0,226.0,176.0,176.0,,-12,8348756
2.1429,2019-09-08 18:25:13.917597,366.0,212.0,366.0,234.0,226.0,330.0,226.0,226.0,,-12,8349150
2.216,2019-09-08 18:25:13.991328,366.0,212.0,186.0,234.0,226.0,224.0,176.0,330.0,,-12,8348894
2.2899,2019-09-08 18:25:14.000653,364.0,212.0,186.0,234.0,226.0,328.0,176.0,328.0,,-12,8349365
2.299,2019-09-08 18:25:14.029572,212.0,186.0,234.0,366.0,176.0,328.0,226.0,224.0,,-12,8349399
2.3279,2019-09-08 18:25:14.038486,186.0,212.0,186.0,234.0,324.0,326.0,228.0,224.0,,-12,8349534
2.3368,2019-09-08 18:25:14.087362,364.0,212.0,364.0,234.0,224.0,224.0,324.0,228.0,,-12,8349074
2.3857,2019-09-08 18:25:14.102266,362.0,212.0,364.0,214.0,228.0,224.0,324.0,324.0,,-12,8349842
2.4006,2019-09-08 18:25:14.108721,364.0,212.0,186.0,234.0,322.0,176.0,322.0,224.0,,-12,8349205
2.4071,2019-09-08 18:25:14.136383,364.0,214.0,186.0,234.0,226.0,176.0,322.0,322.0,,-12,8348873
2.4348,2019-09-08 18:25:14.142687,234.0,212.0,186.0,234.0,226.0,224.0,178.0,176.0,,-12,8348873
2.4412,2019-09-08 18:25:14.170278,234.0,212.0,186.0,234.0,176.0,322.0,228.0,226.0,,-12,8349413
2.4688,2019-09-08 18:25:14.179572,364.0,212.0,186.0,236.0,176.0,320.0,228.0,226.0,,-12,8349288
2.4779,2019-09-08 18:25:14.190771,364.0,212.0,186.0,236.0,178.0,320.0,230.0,226.0,,-12,8349925
