time_index,time_stamp,L1,L2,L3,L4,R1,R2,R3,R4,Futek,ENC2
0.0006,2019-09-08 18:40:40.656792,360.0,220.0,184.0,220.0,222.0,210.0,172.0,326.0,,-89,8342316
1.0334,2019-09-08 18:40:40.671689,388.0,204.0,182.0,214.0,222.0,210.0,172.0,328.0,,-89,8342410
1.0482,2019-09-08 18:40:40.688232,388.0,214.0,206.0,214.0,210.0,170.0,170.0,220.0,,-89,8341683
1.0648,2019-09-08 18:40:40.702081,390.0,182.0,182.0,214.0,210.0,172.0,328.0,222.0,,-89,8342991
1.0789,2019-09-08 18:40:40.717107,390.0,208.0,182.0,214.0,210.0,172.0,326.0,222.0,,-89,8342430
1.0944,2019-09-08 18:40:40.736855,208.0,208.0,214.0,214.0,208.0,172.0,326.0,222.0,,-89,8342015
1.1135,2019-09-08 18:40:40.753129,386.0,208.0,208.0,182.0,208.0,172.0,326.0,222.0,,-89,8343112
1.1297,2019-09-08 18:40:40.770423,384.0,214.0,184.0,214.0,172.0,326.0,326.0,222.0,,-89,8342482
1.1472,2019-09-08 18:40:40.794358,382.0,208.0,182.0,214.0,326.0,222.0,210.0,170.0,,-89,8342742
1.1713,2019-09-08 18:40:40.805475,380.0,208.0,182.0,214.0,172.0,326.0,222.0,172.0,,-89,8342707
1.182,2019-09-08 18:40:40.819169,210.0,208.0,182.0,216.0,326.0,222.0,208.0,172.0,,-89,8341960
1.1959,2019-09-08 18:40:40.837287,210.0,182.0,184.0,216.0,172.0,222.0,208.0,172.0,,-89,8342967
1.2139,2019-09-08 18:40:40.853898,378.0,216.0,182.0,210.0,326.0,220.0,210.0,170.0,,-89,8342441
1.2305,2019-09-08 18:40:40.870414,378.0,210.0,184.0,184.0,222.0,220.0,210.0,326.0,,-89,8342005
1.2472,2019-09-08 18:40:40.893231,378.0,210.0,210.0,210.0,222.0,222.0,208.0,172.0,,-89,8342545
1.2699,2019-09-08 18:40:40.906634,376.0,376.0,376.0,210.0,328.0,172.0,326.0,222.0,,-89,8342655
1.2833,2019-09-08 18:40:40.926208,376.0,210.0,374.0,210.0,220.0,208.0,172.0,328.0,,-89,8342821
1.3029,2019-09-08 18:40:40.941881,374.0,210.0,210.0,216.0,220.0,208.0,172.0,328.0,,-89,8342368
1.3184,2019-09-08 18:40:40.960347,372.0,372.0,210.0,184.0,220.0,172.0,172.0,328.0,,-89,8342749
1.3371,2019-09-08 18:40:40.975379,370.0,210.0,182.0,216.0,220.0,172.0,172.0,328.0,,-89,8341735
1.3523,2019-09-08 18:40:40.994814,216.0,368.0,210.0,184.0,208.0,172.0,328.0,220.0,,-89,8342825
1.3715,2019-09-08 18:40:41.010033,366.0,210.0,184.0,216.0,210.0,172.0,328.0,220.0,,-89,8342071
1.3869,2019-09-08 18:40:41.026810,364.0,184.0,216.0,216.0,172.0,220.0,220.0,208.0,,-89,8342707
1.4039,2019-09-08 18:40:41.043046,364.0,210.0,184.0,214.0,172.0,328.0,220.0,210.0,,-89,8342621
1.4201,2019-09-08 18:40:41.063244,210.0,210.0,184.0,214.0,210.0,328.0,220.0,210.0,,-89,8342240
1.4399,2019-09-08 18:40:41.076926,364.0,210.0,184.0,362.0,172.0,328.0,220.0,208.0,,-89,8342583
1.4544,2019-09-08 18:40:41.099262,362.0,210.0,362.0,210.0,172.0,208.0,222.0,210.0,,-89,8342500
1.4759,2019-09-08 18:40:41.112553,362.0,210.0,362.0,214.0,328.0,328.0,208.0,172.0,,-89,8341929
1.4892,2019-09-08 18:40:41.127976,360.0,210.0,182.0,214.0,328.0,172.0,208.0,172.0,,-89,8342157
1.5046,2019-09-08 18:40:41.146116,360.0,210.0,214.0,214.0,328.0,172.0,208.0,172.0,,-89,8342396
1.5233,2019-09-08 18:40:41.163622,184.0,214.0,184.0,214.0,222.0,210.0,172.0,326.0,,-89,8342385
1.5402,2019-09-08 18:40:41.202047,360.0,214.0,360.0,210.0,328.0,210.0,210.0,328.0,,-89,8341814
1.5786,2019-09-08 18:40:41.208348,362.0,214.0,184.0,210.0,328.0,222.0,170.0,326.0,,-89,8342700
1.5849,2019-09-08 18:40:41.222650,362.0,362.0,184.0,214.0,172.0,326.0,172.0,326.0,,-89,8342731
1.5993,2019-09-08 18:40:41.236450,184.0,214.0,182.0,216.0,222.0,210.0,172.0,326.0,,-89,8343271
1.6131,2019-09-08 18:40:41.252256,184.0,216.0,184.0,216.0,222.0,210.0,172.0,326.0,,-89,8342735
1.6289,2019-09-08 18:40:41.283738,364.0,216.0,184.0,216.0,326.0,222.0,326.0,172.0,,-89,8342638
1.6606,2019-09-08 18:40:41.312066,366.0,216.0,184.0,216.0,172.0,326.0,224.0,210.0,,-89,8342500
1.6887,2019-09-08 18:40:41.318485,368.0,216.0,184.0,216.0,210.0,172.0,224.0,210.0,,-89,8342240
1.695,2019-09-08 18:40:41.332199,184.0,216.0,184.0,216.0,172.0,172.0,222.0,210.0,,-89,8342787
1.7088,2019-09-08 18:40:41.344830,370.0,214.0,184.0,216.0,172.0,326.0,224.0,210.0,,-89,8342718
