time_index,time_stamp,L1,L2,L3,L4,R1,R2,R3,R4,Futek,ENC2
1.1137,2019-09-08 18:20:41.123298,310.0,310.0,172.0,220.0,194.0,200.0,266.0,164.0,,-17,8341738
1.1393,2019-09-08 18:20:41.134127,310.0,220.0,186.0,220.0,194.0,164.0,264.0,164.0,,-17,8342146
1.1502,2019-09-08 18:20:41.145552,310.0,188.0,172.0,220.0,166.0,266.0,196.0,196.0,,-17,8341738
1.1617,2019-09-08 18:20:41.171862,220.0,188.0,172.0,220.0,266.0,200.0,196.0,164.0,,-17,8341648
1.1879,2019-09-08 18:20:41.181143,308.0,188.0,172.0,220.0,266.0,200.0,196.0,164.0,,-17,8342596
1.1971,2019-09-08 18:20:41.193227,308.0,188.0,172.0,220.0,200.0,196.0,166.0,266.0,,-17,8342544
1.2092,2019-09-08 18:20:41.208444,308.0,188.0,172.0,220.0,264.0,196.0,196.0,264.0,,-17,8342669
1.2244,2019-09-08 18:20:41.223042,308.0,188.0,172.0,220.0,264.0,196.0,196.0,266.0,,-17,8342358
1.239,2019-09-08 18:20:41.243858,306.0,188.0,172.0,220.0,196.0,202.0,266.0,200.0,,-17,8342008
1.2599,2019-09-08 18:20:41.263699,306.0,188.0,172.0,220.0,264.0,202.0,196.0,164.0,,-17,8342326
1.2797,2019-09-08 18:20:41.279292,306.0,188.0,172.0,220.0,266.0,202.0,198.0,166.0,,-17,8342479
1.2953,2019-09-08 18:20:41.285539,304.0,188.0,172.0,220.0,264.0,202.0,266.0,202.0,,-17,8341922
1.3015,2019-09-08 18:20:41.300255,304.0,188.0,172.0,220.0,196.0,166.0,264.0,202.0,,-17,8342212
1.3164,2019-09-08 18:20:41.322508,304.0,188.0,172.0,220.0,264.0,202.0,198.0,166.0,,-17,8342018
1.3385,2019-09-08 18:20:41.331569,304.0,188.0,172.0,220.0,264.0,166.0,198.0,166.0,,-17,8342313
1.3475,2019-09-08 18:20:41.345756,304.0,188.0,172.0,220.0,166.0,196.0,166.0,266.0,,-18,8342264
1.3618,2019-09-08 18:20:41.364380,306.0,188.0,172.0,220.0,266.0,166.0,266.0,166.0,,-18,8342659
1.3804,2019-09-08 18:20:41.380161,306.0,188.0,172.0,220.0,268.0,202.0,196.0,166.0,,-18,8342036
1.3977,2019-09-08 18:20:41.393594,308.0,188.0,172.0,220.0,268.0,268.0,202.0,166.0,,-18,8342098
1.41,2019-09-08 18:20:41.413268,308.0,188.0,172.0,222.0,272.0,204.0,198.0,272.0,,-18,8342548
1.4297,2019-09-08 18:20:41.427666,308.0,172.0,222.0,222.0,272.0,202.0,272.0,202.0,,-18,8341845
1.4449,2019-09-08 18:20:41.484971,188.0,172.0,222.0,222.0,272.0,202.0,198.0,166.0,,-18,8341939
1.5015,2019-09-08 18:20:41.491794,306.0,188.0,172.0,222.0,280.0,204.0,198.0,282.0,,-18,8342288
1.5085,2019-09-08 18:20:41.502931,306.0,188.0,172.0,220.0,282.0,198.0,166.0,282.0,,-18,8342105
1.5198,2019-09-08 18:20:41.519731,306.0,188.0,172.0,222.0,282.0,282.0,196.0,196.0,,-18,8341811
1.5376,2019-09-08 18:20:41.557286,306.0,188.0,172.0,222.0,282.0,166.0,284.0,164.0,,-18,8342150
1.5734,2019-09-08 18:20:41.574026,306.0,188.0,172.0,220.0,284.0,204.0,196.0,166.0,,-18,8342250
1.5902,2019-09-08 18:20:41.580780,306.0,220.0,172.0,306.0,284.0,202.0,196.0,284.0,,-18,8341935
1.597,2019-09-08 18:20:41.589410,172.0,220.0,172.0,308.0,282.0,196.0,284.0,202.0,,-18,8341659
1.6057,2019-09-08 18:20:41.601473,308.0,220.0,172.0,308.0,282.0,284.0,196.0,166.0,,-18,8342399
1.6178,2019-09-08 18:20:41.610806,308.0,186.0,172.0,308.0,202.0,202.0,194.0,166.0,,-18,8341828
1.6269,2019-09-08 18:20:41.645379,310.0,186.0,172.0,310.0,288.0,288.0,202.0,194.0,,-18,8342029
1.6617,2019-09-08 18:20:41.660107,310.0,186.0,172.0,220.0,288.0,202.0,194.0,166.0,,-18,8342029
1.6763,2019-09-08 18:20:41.670822,312.0,188.0,172.0,220.0,288.0,202.0,194.0,166.0,,-18,8342340
1.6869,2019-09-08 18:20:41.679496,314.0,188.0,314.0,220.0,288.0,202.0,194.0,166.0,,-18,8341780
1.6961,2019-09-08 18:20:41.689513,314.0,188.0,172.0,220.0,202.0,194.0,166.0,290.0,,-18,8341413
1.7058,2019-09-08 18:20:41.702997,314.0,186.0,316.0,220.0,194.0,202.0,290.0,202.0,,-19,8342091
1.7191,2019-09-08 18:20:41.719867,316.0,186.0,172.0,220.0,290.0,202.0,194.0,166.0,,-19,8341856
1.7361,2019-09-08 18:20:41.735302,220.0,188.0,172.0,220.0,290.0,194.0,166.0,290.0,,-19,8342122
1.7516,2019-09-08 18:20:41.749994,316.0,186.0,316.0,220.0,290.0,202.0,164.0,290.0,,-19,8341752
1.7662,2019-09-08 18:20:41.765006,316.0,188.0,316.0,186.0,192.0,290.0,192.0,192.0,,-19,8342171
1.7811,2019-09-08 18:20:41.783286,316.0,186.0,172.0,220.0,290.0,200.0,166.0,290.0,,-19,8342454
1.7997,2019-09-08 18:20:41.795877,318.0,186.0,186.0,220.0,192.0,200.0,290.0,290.0,,-19,8341814
1.812,2019-09-08 18:20:41.816334,318.0,318.0,172.0,220.0,290.0,200.0,290.0,200.0,,-19,8341247
1.8324,2019-09-08 18:20:41.826582,318.0,318.0,188.0,172.0,192.0,200.0,192.0,192.0,,-19,8341641
1.8427,2019-09-08 18:20:41.842642,318.0,186.0,172.0,220.0,164.0,290.0,192.0,192.0,,-19,8341209
1.859,2019-09-08 18:20:41.857680,318.0,186.0,172.0,220.0,292.0,290.0,200.0,192.0,,-19,8341593
1.8738,2019-09-08 18:20:41.899902,318.0,188.0,172.0,220.0,292.0,200.0,192.0,166.0,,-19,8341465
1.9168,2019-09-08 18:20:41.911955,318.0,186.0,172.0,220.0,294.0,200.0,192.0,164.0,,-19,8342344
1.928,2019-09-08 18:20:41.923591,318.0,186.0,172.0,220.0,294.0,200.0,192.0,294.0,,-19,8341700
1.9404,2019-09-08 18:20:41.937790,318.0,186.0,172.0,220.0,192.0,198.0,192.0,294.0,,-19,8341416
1.9539,2019-09-08 18:20:41.951431,318.0,188.0,172.0,220.0,164.0,294.0,198.0,192.0,,-19,8341309
1.9677,2019-09-08 18:20:41.970710,318.0,186.0,172.0,220.0,296.0,198.0,190.0,164.0,,-19,8341492
1.9868,2019-09-08 18:20:41.986629,318.0,186.0,172.0,220.0,298.0,198.0,190.0,164.0,,-19,8341956
2.0027,2019-09-08 18:20:42.000697,318.0,186.0,172.0,220.0,298.0,198.0,190.0,300.0,,-19,8341752
2.0171,2019-09-08 18:20:42.018610,318.0,186.0,172.0,220.0,164.0,300.0,300.0,190.0,,-19,8342364
2.0351,2019-09-08 18:20:42.032027,318.0,186.0,172.0,220.0,164.0,300.0,198.0,164.0,,-19,8342105
2.0481,2019-09-08 18:20:42.048986,318.0,186.0,172.0,220.0,302.0,198.0,190.0,164.0,,-19,8341973
2.0653,2019-09-08 18:20:42.070804,318.0,186.0,172.0,220.0,304.0,198.0,304.0,198.0,,-19,8342572
2.0869,2019-09-08 18:20:42.095950,186.0,172.0,218.0,220.0,304.0,166.0,196.0,164.0,,-19,8342323
2.112,2019-09-08 18:20:42.105170,318.0,172.0,220.0,220.0,306.0,306.0,198.0,164.0,,-19,8341693
2.1213,2019-09-08 18:20:42.117192,318.0,186.0,172.0,220.0,308.0,306.0,196.0,190.0,,-19,8341922
2.1333,2019-09-08 18:20:42.127784,318.0,186.0,172.0,318.0,308.0,196.0,190.0,196.0,,-19,8341967
2.1442,2019-09-08 18:20:42.142089,318.0,186.0,172.0,218.0,308.0,196.0,190.0,164.0,,-19,8341994
2.1585,2019-09-08 18:20:42.168898,316.0,186.0,172.0,218.0,310.0,196.0,190.0,196.0,,-19,8341987
2.1853,2019-09-08 18:20:42.187438,316.0,186.0,172.0,316.0,190.0,196.0,310.0,164.0,,-19,8342403
2.2035,2019-09-08 18:20:42.203308,316.0,186.0,172.0,314.0,164.0,312.0,196.0,190.0,,-19,8341925
2.2196,2019-09-08 18:20:42.210274,172.0,218.0,172.0,218.0,310.0,312.0,196.0,164.0,,-19,8341911
2.2265,2019-09-08 18:20:42.232187,314.0,186.0,172.0,218.0,310.0,196.0,190.0,164.0,,-19,8341797
2.2483,2019-09-08 18:20:42.254975,314.0,186.0,172.0,218.0,196.0,196.0,190.0,164.0,,-19,8341849
2.2711,2019-09-08 18:20:42.267248,316.0,218.0,314.0,218.0,190.0,190.0,188.0,314.0,,-19,8342022
2.2836,2019-09-08 18:20:42.297508,314.0,218.0,314.0,186.0,314.0,196.0,188.0,164.0,,-19,8341714
2.3135,2019-09-08 18:20:42.303777,314.0,186.0,172.0,218.0,314.0,314.0,190.0,164.0,,-19,8342593
2.3198,2019-09-08 18:20:42.313608,314.0,186.0,172.0,218.0,196.0,190.0,188.0,164.0,,-19,8342593
2.3299,2019-09-08 18:20:42.327879,314.0,314.0,186.0,172.0,190.0,196.0,164.0,196.0,,-19,8341537
2.3439,2019-09-08 18:20:42.346276,314.0,186.0,172.0,218.0,314.0,196.0,190.0,196.0,,-19,8342731
2.3623,2019-09-08 18:20:42.357228,314.0,186.0,172.0,218.0,314.0,196.0,314.0,196.0,,-19,8341382
2.3735,2019-09-08 18:20:42.373261,314.0,186.0,172.0,218.0,314.0,196.0,188.0,190.0,,-19,8342188
2.3895,2019-09-08 18:20:42.415257,314.0,186.0,172.0,218.0,196.0,188.0,190.0,164.0,,-19,8341541
2.432,2019-09-08 18:20:42.423344,314.0,186.0,172.0,218.0,314.0,164.0,188.0,196.0,,-19,8342219
2.4407,2019-09-08 18:20:42.449202,314.0,186.0,172.0,218.0,316.0,196.0,190.0,164.0,,-19,8341358
2.4667,2019-09-08 18:20:42.473822,314.0,186.0,172.0,218.0,316.0,198.0,190.0,164.0,,-19,8342032
2.4904,2019-09-08 18:20:42.481721,314.0,186.0,172.0,220.0,318.0,198.0,190.0,164.0,,-19,8341894
2.4985,2019-09-08 18:20:42.506454,314.0,186.0,172.0,218.0,190.0,198.0,164.0,318.0,,-19,8341925
2.5228,2019-09-08 18:20:42.534148,314.0,186.0,172.0,220.0,318.0,164.0,190.0,198.0,,-19,8341880
2.5505,2019-09-08 18:20:42.540848,314.0,186.0,172.0,220.0,188.0,164.0,318.0,198.0,,-19,8341710
2.5572,2019-09-08 18:20:42.569597,314.0,186.0,172.0,218.0,164.0,318.0,198.0,190.0,,-19,8341752
2.5861,2019-09-08 18:20:42.576602,316.0,186.0,172.0,218.0,318.0,164.0,318.0,198.0,,-19,8341856
2.5929,2019-09-08 18:20:42.596286,316.0,186.0,172.0,218.0,320.0,198.0,190.0,164.0,,-19,8341323
2.6123,2019-09-08 18:20:42.604560,316.0,186.0,172.0,218.0,318.0,198.0,190.0,320.0,,-19,8341413
2.6206,2019-09-08 18:20:42.621872,316.0,186.0,172.0,220.0,190.0,166.0,190.0,320.0,,-19,8341409
2.6379,2019-09-08 18:20:42.637810,316.0,188.0,172.0,220.0,320.0,190.0,164.0,318.0,,-19,8342126
2.6539,2019-09-08 18:20:42.664546,316.0,186.0,172.0,218.0,320.0,190.0,164.0,318.0,,-19,8341665
2.6806,2019-09-08 18:20:42.671226,316.0,186.0,172.0,220.0,164.0,192.0,164.0,316.0,,-19,8341766
2.6877,2019-09-08 18:20:42.686995,316.0,186.0,172.0,218.0,164.0,200.0,164.0,316.0,,-19,8342745
2.7031,2019-09-08 18:20:42.703609,316.0,186.0,172.0,220.0,314.0,192.0,192.0,314.0,,-19,8342655
2.7209,2019-09-08 18:20:42.719526,316.0,186.0,172.0,220.0,312.0,202.0,192.0,164.0,,-19,8342029
2.7362,2019-09-08 18:20:42.773834,316.0,186.0,172.0,220.0,314.0,202.0,192.0,164.0,,-19,8341378
2.7902,2019-09-08 18:20:42.780497,316.0,186.0,172.0,218.0,310.0,166.0,194.0,166.0,,-19,8341627
2.7976,2019-09-08 18:20:42.805564,316.0,186.0,172.0,220.0,308.0,204.0,194.0,166.0,,-19,8341873
2.8223,2019-09-08 18:20:42.812797,316.0,186.0,172.0,218.0,308.0,204.0,194.0,166.0,,-19,8341904
2.8297,2019-09-08 18:20:42.820416,316.0,186.0,172.0,220.0,166.0,202.0,194.0,164.0,,-19,8342074
2.8369,2019-09-08 18:20:42.841348,316.0,186.0,172.0,220.0,194.0,194.0,304.0,304.0,,-19,8341586
2.8578,2019-09-08 18:20:42.857578,316.0,186.0,172.0,218.0,306.0,204.0,166.0,304.0,,-19,8341797
2.8741,2019-09-08 18:20:42.867660,316.0,186.0,316.0,186.0,166.0,304.0,194.0,304.0,,-19,8341887
2.8841,2019-09-08 18:20:42.882632,316.0,186.0,172.0,218.0,302.0,204.0,194.0,166.0,,-19,8341524
2.899,2019-09-08 18:20:42.902256,316.0,316.0,186.0,218.0,302.0,302.0,204.0,166.0,,-19,8342254
2.9189,2019-09-08 18:20:42.921300,316.0,316.0,172.0,218.0,298.0,196.0,166.0,298.0,,-19,8341918
2.9378,2019-09-08 18:20:42.934274,316.0,186.0,172.0,218.0,196.0,204.0,298.0,166.0,,-19,8341579
2.9506,2019-09-08 18:20:42.950639,316.0,186.0,172.0,218.0,296.0,204.0,196.0,194.0,,-19,8341676
2.967,2019-09-08 18:20:42.966936,316.0,186.0,172.0,218.0,296.0,296.0,204.0,166.0,,-19,8342313
2.9833,2019-09-08 18:20:42.980756,316.0,186.0,172.0,218.0,204.0,204.0,196.0,296.0,,-19,8341281
2.9974,2019-09-08 18:20:43.016333,316.0,186.0,172.0,218.0,294.0,196.0,166.0,166.0,,-19,8342537
3.033,2019-09-08 18:20:43.023337,316.0,186.0,172.0,218.0,294.0,204.0,166.0,166.0,,-19,8341755
3.04,2019-09-08 18:20:43.030470,316.0,186.0,172.0,218.0,294.0,206.0,196.0,166.0,,-19,8342188
3.0473,2019-09-08 18:20:43.047054,316.0,186.0,172.0,218.0,294.0,196.0,194.0,166.0,,-19,8342731
3.0634,2019-09-08 18:20:43.064264,316.0,186.0,172.0,218.0,292.0,196.0,196.0,292.0,,-19,8341634
3.0806,2019-09-08 18:20:43.079039,316.0,186.0,172.0,218.0,292.0,166.0,292.0,206.0,,-19,8341859
