2.5753,-0,0,NaN
2.5793,-0,0,NaN
2.5908,-0,0,NaN
2.6007,-0,0,NaN
2.6118,-0,0,0.0049121
2.6276,-0,0,0.0058286
2.6376,-0,0,0.0066903
2.6477,-0,0,0.0071126
2.6604,-0,0,0.0075696
2.6724,-0,0,0.007064
2.6876,-0,0,0.0065137
2.6977,-0,0,0.0062915
2.7107,-0,0,0.0029406
2.7181,-0,0,0.0024489
2.7281,-0,0,0.001997
2.7399,-0,0,0.0016437
2.7505,-0,0,-0.0024446
2.7619,-0,0,-0.006443
2.7728,-0,0,-0.013275
2.7886,-0,0,-0.015997
2.7988,-0,0,-0.018278
2.811,-0,0,-0.020197
2.8203,-0,0,-0.021951
2.8321,-0,0,-0.023276
2.8429,-0,0,-0.02417
2.8613,-0,0,-0.024981
2.8682,-0,0,-0.0259
2.8782,-0,0,-0.026883
2.8896,-0,0,-0.028058
2.9001,-0,0,-0.029375
2.911,-0,0,-0.030861
2.9245,0.5,0,-0.033255
2.9389,0.5,-0.5,-0.03537
2.9488,0.5,-0.5,-0.038213
2.9611,0.5,-0.5,-0.041563
2.9713,0.5,-0.5,-0.045051
2.9834,0.5,-0.5,-0.050492
2.9985,0.5,-0.5,-0.053749
3.0111,0.5,-0.5,-0.057192
3.0195,0.5,-0.5,-0.059758
3.0304,0.5,-0.5,-0.061042
3.0421,0.5,-0.5,-0.060504
3.0538,0.5,-0.5,-0.057342
3.0679,0.5,-0.5,-0.05487
3.0778,0.5,-0.5,-0.051348
3.0885,0.5,-0.5,-0.045822
3.1113,0.5,-0.5,-0.044053
3.1181,0.5,-0.5,-0.041481
3.1283,0.5,-0.5,-0.038545
3.1386,0.5,-0.5,-0.035209
3.1491,0.5,0,-0.02613
3.169,1,0,-0.021558
3.183,1,0,-0.017906
3.192,1,0,-0.01658
3.1996,1,0,-0.013669
3.2105,1,0,-0.0070321
3.2204,1,0,-0.0022064
3.2308,1,0,-0.00031819
3.2432,1,0,0.0062795
3.2604,1,0,0.010954
3.2718,1,0,0.015609
3.2799,1,0,0.019725
3.2917,1,0,0.023992
3.3117,1,0,0.025686
3.3182,1,0,0.027124
3.3296,1,0,0.029833
3.3398,1,0,0.032599
3.3517,1,0,0.033987
3.3631,1,0,0.035281
3.3791,1,0,0.036958
3.3892,1,0,0.037774
3.4021,1,0,0.038581
3.4134,1,0,0.039374
3.4241,1,0,0.040836
3.4336,1,0,0.044372
3.4485,1,0,0.046603
3.4615,1,0,0.048741
3.4696,1.5,0,0.050607
3.4797,1.5,0,0.052848
3.4907,1.5,0,0.057255
3.5111,1.5,0,0.05917
3.5186,1.5,0,0.061148
3.5286,1.5,0,0.063695
3.5385,1.5,-0.5,0.066948
3.5494,1.5,-0.5,0.070255
3.5613,1.5,-0.5,0.073317
3.5724,1.5,-0.5,0.077888
3.589,2,-0.5,0.080349
3.5987,2,-0.5,0.082961
3.6113,2,-0.5,0.085489
3.6186,2,-0.5,0.087071
3.6309,2,-0.5,0.089006
3.642,2,-0.5,0.092726
3.6617,2,-0.5,0.094315
3.6683,2,-0.5,0.096543
3.6782,2,-0.5,0.099702
3.6894,2,-0.5,0.10441
3.7015,2,-0.5,0.10927
3.7129,2.5,-0.5,0.11846
3.7304,2.5,-0.5,0.12263
3.7391,2.5,-0.5,0.12731
3.7487,2.5,-0.5,0.13271
3.7607,2.5,-0.5,0.13899
3.7731,2.5,-0.5,0.14503
3.7837,2.5,-0.5,0.15387
3.8009,2.5,-0.5,0.1604
3.8104,2.5,-0.5,0.17897
3.8277,2.5,-0.5,0.18658
3.8377,2.5,-0.5,0.19368
3.848,2.5,-0.5,0.20222
3.8606,2.5,-0.5,0.21444
3.8694,3,-1,0.22664
3.8814,3,-1,0.23938
3.8935,3,-1,0.26226
3.9114,3,-1,0.27248
3.9183,3,-1,0.28184
3.9285,3,-1,0.2931
3.9407,3,-1,0.30522
