1.0197,8.64,0,-0.14108,64.08
1.0369,8.64,0,-0.1392,64.08
1.056,8.64,0,-0.13522,64.08
1.0721,8.64,0,-0.13159,64.08
1.0895,8.64,0,-0.12723,64.08
1.1124,9.2668,0,-0.12048,64.08
1.1311,9.36,0,-0.11687,64.08
1.1511,9.36,0,-0.11232,64.08
1.1789,9.36,0,-0.11113,64.08
1.1918,9.36,0,-0.11117,64.08
1.2076,9.36,0,-0.10947,64.08
1.2286,9.36,0,-0.10964,64.08
1.2478,9.36,0,-0.10883,64.08
1.2669,9.36,0,-0.10962,64.08
1.2933,9.36,0,-0.11042,64.08
1.3088,9.36,0,-0.11067,64.08
1.3315,8.64,0,-0.11098,64.08
1.3496,8.64,0,-0.11302,64.08
1.3709,8.64,0,-0.11434,64.08
1.3884,8.64,0,-0.11552,64.08
1.4109,8.64,0,-0.11471,64.08
1.4285,8.64,0,-0.1151,64.08
1.4479,8.64,0,-0.11345,64.08
1.4667,8.64,0,-0.11285,64.08
1.49,8.64,0,-0.11046,64.08
1.5059,8.64,0,-0.10862,64.08
1.5318,8.64,0,-0.10856,64.08
1.5471,8.64,0,-0.10854,64.08
1.565,8.64,0,-0.10931,64.08
1.586,8.64,0,-0.11141,64.08
1.6063,8.64,0,-0.11151,64.08
1.6507,8.64,0,-0.11595,64.08
1.658,8.64,0,-0.11544,64.08
1.6745,8.64,0,-0.11492,64.08
1.6905,8.64,0,-0.11246,64.08
1.7089,8.9172,0,-0.11001,64.08
1.7453,9.36,0,-0.1056,64.08
1.7781,9.36,0,-0.10127,64.08
1.7855,9.36,0,-0.099809,64.08
1.8014,9.36,0,-0.098378,64.08
1.816,9.36,0,-0.097855,64.08
1.838,9.36,0,-0.09755,64.08
1.8536,9.36,0,-0.098214,64.08
1.8758,9.36,0,-0.10158,64.08
1.8968,9.36,0,-0.10451,64.08
1.9121,8.8954,0,-0.10702,64.08
1.9312,8.64,0,-0.11004,64.08
1.9513,8.64,0,-0.1132,64.08
1.9706,8.64,0,-0.11611,64.08
1.9949,8.64,0,-0.11815,64.08
2.0134,8.64,0,-0.11859,64.08
2.0303,8.64,0,-0.12072,64.08
2.0512,8.64,0,-0.11969,64.08
2.0757,8.64,0,-0.11811,64.08
2.0912,8.64,0,-0.1159,64.08
2.1083,8.64,0,-0.113,64.08
2.1313,8.64,0,-0.11217,64.08
2.1479,8.64,0,-0.11106,64.08
2.1708,8.64,0,-0.10947,64.08
2.2024,8.64,0,-0.10949,64.08
2.2152,8.64,0,-0.11032,64.08
2.2391,8.64,0,-0.11193,64.08
2.255,8.64,0,-0.11402,64.08
2.2683,8.64,0,-0.11436,64.08
2.2898,8.64,0,-0.11442,64.08
2.312,8.64,0,-0.11444,64.08
2.3308,8.64,0,-0.11652,64.08
2.3539,8.64,0,-0.11476,64.08
2.3749,8.64,0,-0.11516,64.08
2.3928,8.64,0,-0.11566,64.08
2.4112,8.64,0,-0.11618,64.08
2.4328,8.64,0,-0.11663,64.08
2.453,8.64,0,-0.11692,64.08
2.4794,8.64,0,-0.11494,64.08
2.4981,8.64,0,-0.11478,64.08
2.5154,8.64,0,-0.11448,64.08
2.5351,9.36,0,-0.1141,64.08
