1567993474.801465,0.0
1567993474.81215,0.0
1567993474.825403,0.0
1567993474.836099,0.0
1567993474.846599,0.0
1567993474.856982,0.0
1567993474.867333,0.0
1567993474.877647,0.0
1567993474.887933,0.0
1567993474.898304,0.0
1567993474.90873,0.0
1567993474.927002,0.0
1567993474.93743,0.0
1567993474.947761,0.0
1567993474.958107,0.0
1567993474.968449,0.0
1567993474.978731,0.0
1567993474.989024,0.0
1567993475.001652,0.0
1567993475.012166,0.0
1567993475.022609,0.0
1567993475.033007,0.0
1567993475.043338,0.0
1567993475.053674,0.0
1567993475.064059,0.72
1567993475.074346,0.72
1567993475.084616,0.72
1567993475.094931,0.72
1567993475.105315,0.72
1567993475.115668,0.72
1567993475.126076,0.72
1567993475.136448,0.72
1567993475.146786,0.72
1567993475.157172,0.72
1567993475.167605,0.0
1567993475.177978,0.0
1567993475.188348,0.0
1567993475.198783,0.0
1567993475.209173,0.0
1567993475.219507,0.0
1567993475.229836,0.0
1567993475.24016,0.0
1567993475.25046,0.0
1567993475.260857,0.0
1567993475.271182,0.0
1567993475.281726,0.0
1567993475.292232,0.0
1567993475.302602,0.0
1567993475.312906,0.72
1567993475.323214,0.72
1567993475.333513,0.72
1567993475.343841,0.72
1567993475.354213,0.72
1567993475.364518,0.72
1567993475.374809,0.72
1567993475.385114,0.72
1567993475.395464,0.72
1567993475.405772,0.72
1567993475.416108,0.72
1567993475.426408,0.72
1567993475.43677,0.72
1567993475.447214,0.72
1567993475.457573,0.72
1567993475.467844,0.72
1567993475.47827,0.72
1567993475.488691,0.72
1567993475.499178,0.72
1567993475.509658,0.72
1567993475.520269,0.72
1567993475.530985,0.72
1567993475.54149,0.72
1567993475.551932,0.72
1567993475.562428,0.72
1567993475.572981,0.72
1567993475.583466,0.72
1567993475.593943,0.72
1567993475.604403,0.72
1567993475.615004,0.72
1567993475.625615,0.72
1567993475.636072,0.72
1567993475.646511,0.72
1567993475.656957,0.72
1567993475.667885,0.72
1567993475.678768,0.72
1567993475.689586,0.72
1567993475.700923,0.72
1567993475.711714,0.72
1567993475.722589,0.72
1567993475.741036,0.72
1567993475.75176,0.72
1567993475.762495,0.72
1567993475.773188,0.72
1567993475.783839,0.72
1567993475.794438,0.72
1567993475.804942,0.72
1567993475.815459,0.72
1567993475.825962,0.72
1567993475.836529,0.72
1567993475.847035,0.72
1567993475.85748,0.72
1567993475.867922,0.72
1567993475.878363,0.72
1567993475.888969,0.72
1567993475.899421,0.72
1567993475.909855,0.72
1567993475.92044,0.72
1567993475.931241,0.72
1567993475.941816,0.72
1567993475.952291,0.72
1567993475.962728,0.72
1567993475.973181,0.72
1567993475.983678,0.72
1567993475.994212,0.72
1567993476.004938,0.72
1567993476.015473,0.72
1567993476.038003,0.72
1567993476.048701,0.72
1567993476.059548,0.72
1567993476.070084,0.72
1567993476.080613,0.72
1567993476.091139,0.72
1567993476.101631,0.72
1567993476.112146,0.72
1567993476.122672,0.72
1567993476.133198,0.72
1567993476.143718,0.72
1567993476.154292,0.72
1567993476.164812,0.72
1567993476.175284,0.72
1567993476.18581,0.72
1567993476.196433,0.72
1567993476.206884,0.72
1567993476.217326,0.72
1567993476.2277,0.72
1567993476.238031,0.72
1567993476.248481,0.72
1567993476.258901,0.72
1567993476.269206,0.72
1567993476.279567,0.72
1567993476.290237,0.72
1567993476.300684,0.72
1567993476.311283,0.72
1567993476.321692,0.72
1567993476.332012,0.72
1567993476.342603,0.72
1567993476.353002,0.72
1567993476.36334,0.72
1567993476.373618,0.72
1567993476.383906,0.72
1567993476.394176,0.72
1567993476.404437,0.72
1567993476.41475,0.72
1567993476.425159,0.72
1567993476.435492,0.72
1567993476.445777,0.72
