2.5754,-0,0,NaN
2.5833,-0,0,NaN
2.6006,-0,0,NaN
2.6101,-0,0,NaN
2.6216,-0,0,0.00055858
2.6641,-0,0,0.00058311
2.6725,-0,0,0.0011579
2.683,-0,0,0.0016019
2.6926,-0,0,0.0012378
2.7025,-0,0,0.0015693
2.7175,-0,0,0.001425
2.7262,-0,0,-9.3452e-06
2.7375,-0,0,-0.00012614
2.7516,-0,0,-0.00025721
2.764,0.5,0,-0.00012873
2.7715,0.5,0,3.7889e-05
2.7825,0.5,0,-0.00096734
2.7916,0.5,0,-0.0013898
2.8014,0.5,0,-0.0025832
2.8149,1,0,-0.0057022
2.8231,1,0,-0.0078415
2.8329,1.5,0,-0.010148
2.8437,1.5,0,-0.010798
2.8554,1.5,0,-0.011441
2.8715,2,0,-0.011261
2.8816,2,0,-0.010879
2.8916,2,0,-0.0096367
2.9014,2,0,-0.0080984
2.914,2,0,-0.0061849
2.922,2,0,-0.0015969
2.9316,2,0,0.0037833
2.9436,2,0,0.0089191
2.9525,2,0,0.014994
2.9653,2,0,0.035515
2.9739,2,0,0.04049
2.9845,2,0,0.045148
2.9946,2,0,0.048782
3.005,2,0,0.051281
3.0177,2,0,0.071063
3.0334,2,0,0.069757
3.0415,2,0,0.066939
3.0516,2,0,0.063875
3.0661,2,0,0.067
3.0742,2,0,0.062218
3.0823,2,0,0.057419
3.0939,2,-0.5,0.05233
3.1044,2,-0.5,0.046063
3.1152,2,-0.5,0.042644
3.1269,2,-0.5,0.032249
3.1415,2,-0.5,0.025296
3.1515,2,-0.5,0.019138
3.1652,2,-0.5,0.016168
3.1732,2,-0.5,0.011259
3.1822,2,-0.5,0.007363
3.193,2,-0.5,0.0044598
3.2049,2,-0.5,0.002419
3.2151,2,-0.5,0.002132
3.2239,2.5,-0.5,0.00097637
3.2339,2.5,-0.5,0.00032606
3.245,2.5,-0.5,3.1094e-05
3.2554,2.5,-0.5,-0.00010915
3.2656,2.5,-0.5,-0.00031266
3.2777,2,-0.5,-0.00013077
3.2915,2,-0.5,-0.00015993
